"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"139",11.7551018234,11.9159465758,3288,0,11915.9465758,0,6.03275808812,3.624071343,4.42624834575e-05,5.32202961232e-05,749.1,552.5,"rn"
"142",5.8521974289,5.8867977964,2256,0,5886.7977964,0,4.04362600732,2.60939618635,3.54909420817e-05,3.2756926322e-05,75,26,"rn"
"197",7.62629468448,7.73641025522,2475,0,7736.41025522,0,4.09767577091,3.12582232534,3.97965214506e-05,3.69117653653e-05,425,364,"rn"
"213",5.30613022141,5.51379432727,1818,0,5513.79432727,0,5.92026716123,3.03289016901,7.05090121027e-05,6.95667057907e-05,417,263.6,"rn"
"224",7.4792459238,7.57597113461,3337,0,7575.97113461,0,3.99628083278,2.27029401697,3.73700775249e-05,3.48297144731e-05,224,161,"rn"
"226",10.8564100734,11.0941975607,4236,218,11069.3876334,24.8099272925,5.53159719421,2.61316988513,5.01325941373e-05,5.2739349023e-05,283.9,47.1,"rn"
"228",6.71305143276,7.48673551969,2302,0,7486.73551969,0,8.80924985113,3.25227433522,8.61381751342e-05,9.11731432614e-05,637.9,531.9,"rn"
"232",4.45420620712,4.53931979454,1178,59,4529.34545084,9.97434369342,5.6615096666,3.84494520445,5.45102738198e-05,3.34066258006e-05,737,635,"rn"
"235",1.82751669972,1.84741343202,775,0,1847.41343202,0,3.53774620962,2.38375926713,3.42596048559e-05,4.00598254512e-05,278.3,245.1,"rn"
"239",5.86302546037,5.96157535175,2788,34,5953.97113242,7.60421933083,3.85227614603,2.13557070747,4.6111005628e-05,2.89355727937e-05,80,-37,"rn"
"240",7.63005817215,7.67345776036,3166,0,7673.45776036,0,3.05814410245,2.42370744168,3.70233088171e-05,3.56864906999e-05,85.6,41,"rn"
"250",7.97729719718,8.07682343467,3315,24,8070.34875292,6.47468175269,3.01193374817,2.43449434477,3.09377968377e-05,3.15645755418e-05,71,46,"rn"
"261",8.86047198687,9.0059662943,3828,328,8971.9628854,34.0034088928,3.70206371136,2.34377295857,3.6194460123e-05,3.55172952938e-05,301,260,"rn"
"265",18.9302989477,21.1060740041,9213,219,21081.1458486,24.9281554794,3.57406404566,2.28819557675,9.23070472807e-05,9.13561906645e-05,1275,579,"rn"
"287",7.62747126288,7.71359591254,3191,0,7713.59591254,0,3.36341350598,2.41729737153,3.49788272947e-05,3.90430838395e-05,194,121,"rn"
"319",7.58818055606,7.95189367673,3022,60,7943.55116478,8.34251194293,3.87716140926,2.62857417763,6.02911325871e-05,6.07391978347e-05,59,6.8,"rn"
"325",18.054498846,18.0653505097,3840,0,18065.3505097,0,9.03275166619,4.7045183619,1.0833864826e-05,1.0833864826e-05,135,63,"rn"
"326",4.80179644755,4.83515581152,1915,0,4835.15581152,0,3.00915114885,2.52488554127,2.93848357675e-05,2.64692602838e-05,706,624,"rn"
"332",7.40403286092,7.41505538196,3554,32,7407.98287964,7.07250232759,3.13548973094,2.08440711301,1.7951027838e-05,1.60871787359e-05,322.7,300.7,"rn"
